epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,15340.5,1.06831,0.66566,1.05016,0.84664,0.94934,0.9586,0.66726,0.53431,0.2797,0.52498,0.00736625,0.00736625,0.00736625
71,15557.8,1.05323,0.65637,1.04068,0.84602,0.95888,0.96136,0.66785,0.53801,0.28025,0.52574,0.00729725,0.00729725,0.00729725
72,15775.2,1.05332,0.65565,1.0434,0.84496,0.96449,0.96048,0.66502,0.53829,0.27918,0.52617,0.0072277,0.0072277,0.0072277
73,15991.9,1.09423,0.66364,1.04878,0.8461,0.95701,0.95969,0.66719,0.53702,0.27524,0.52557,0.00715761,0.00715761,0.00715761
74,16207.3,1.04194,0.64492,1.03148,0.84784,0.95514,0.96047,0.66798,0.53619,0.27324,0.52447,0.007087,0.007087,0.007087
75,16426.9,1.05936,0.6613,1.03887,0.85114,0.95119,0.96003,0.66898,0.53477,0.27304,0.52244,0.00701588,0.00701588,0.00701588
76,16641.6,1.07421,0.66332,1.044,0.84875,0.95514,0.96122,0.66995,0.5308,0.27304,0.52047,0.00694428,0.00694428,0.00694428
77,16860,1.08004,0.65942,1.06037,0.85926,0.93579,0.96048,0.66955,0.52977,0.27055,0.52012,0.00687222,0.00687222,0.00687222
78,17076.7,1.06522,0.64609,1.04519,0.85542,0.95105,0.9612,0.66967,0.52906,0.27113,0.51958,0.0067997,0.0067997,0.0067997
79,17290.9,1.05472,0.65617,1.04754,0.85222,0.94859,0.96037,0.66837,0.5269,0.27218,0.51959,0.00672675,0.00672675,0.00672675
80,17507.4,1.0708,0.6682,1.04538,0.85109,0.94766,0.95992,0.66968,0.52512,0.26917,0.51928,0.00665339,0.00665339,0.00665339
81,17723.4,1.02436,0.62214,1.02935,0.85138,0.94579,0.95799,0.67024,0.52473,0.26755,0.5195,0.00657963,0.00657963,0.00657963
82,17941.2,1.04627,0.64463,1.03556,0.85799,0.94579,0.95748,0.67232,0.52574,0.26682,0.51995,0.0065055,0.0065055,0.0065055
83,18154.2,1.07678,0.66063,1.05335,0.8588,0.94355,0.95864,0.67226,0.52443,0.2659,0.51937,0.00643101,0.00643101,0.00643101
84,18368.1,1.04738,0.65388,1.04036,0.85883,0.9438,0.95838,0.67261,0.52384,0.26567,0.51973,0.00635617,0.00635617,0.00635617
